id,text,platform,country,likes,retweets,sentiment
1,Would not buy again.,Facebook,UK,2673,1188,negative
2,"It's okay, nothing special.",Twitter,UK,1362,386,neutral
3,Could be better.,Instagram,UK,4889,450,neutral
4,Highly recommend!,Twitter,Australia,1950,1887,positive
5,Worst experience ever.,Twitter,UK,2856,1811,negative
6,Highly recommend!,Twitter,USA,2102,955,positive
7,Would not buy again.,Twitter,Canada,125,820,negative
8,Outstanding performance!,Facebook,India,1702,2,positive
9,Would not buy again.,Facebook,UK,1432,130,negative
10,Outstanding performance!,Facebook,Canada,255,697,positive
11,Outstanding performance!,Facebook,India,640,880,positive
12,Totally disappointed with the quality.,Twitter,India,2362,186,negative
13,Worst experience ever.,Facebook,Canada,974,1199,negative
14,Highly recommend!,Facebook,India,3764,502,positive
15,"It's okay, nothing special.",Twitter,USA,3829,363,neutral
16,Neutral feelings about this.,Facebook,India,4598,405,neutral
17,"Amazing service, will recommend to everyone!",Instagram,Australia,3843,1854,positive
18,Fantastic effort by the team!,Facebook,USA,2230,387,positive
19,Worst experience ever.,Twitter,Canada,1860,704,negative
20,"It's okay, nothing special.",Instagram,Australia,4250,998,neutral
21,Could be better.,Twitter,USA,976,940,neutral
22,Outstanding performance!,Twitter,India,3209,935,positive
23,Neutral feelings about this.,Twitter,Canada,768,1390,neutral
24,I love this product!,Facebook,India,168,389,positive
25,Could be better.,Facebook,Australia,3320,1801,neutral
26,Could be better.,Twitter,USA,4785,1607,neutral
27,Totally disappointed with the quality.,Facebook,Canada,4329,39,negative
28,Worst experience ever.,Instagram,USA,1480,830,negative
29,Fantastic effort by the team!,Twitter,UK,4162,596,positive
30,"It's okay, nothing special.",Twitter,UK,3723,1651,neutral
31,"Amazing service, will recommend to everyone!",Instagram,Australia,3340,1803,positive
32,"Amazing service, will recommend to everyone!",Twitter,Australia,375,778,positive
33,Could be better.,Instagram,India,4987,567,neutral
34,"Amazing service, will recommend to everyone!",Facebook,Australia,4923,1775,positive
35,Worst experience ever.,Instagram,Australia,1398,1030,negative
36,Pretty decent for the price.,Instagram,USA,4129,1974,positive
37,Could be better.,Twitter,India,3964,1513,neutral
38,Neutral feelings about this.,Instagram,Australia,4644,1400,neutral
39,I love this product!,Facebook,Australia,2108,334,positive
40,Totally disappointed with the quality.,Instagram,UK,4844,30,negative
41,Fantastic effort by the team!,Facebook,Australia,504,1697,positive
42,I love this product!,Twitter,Canada,2789,679,positive
43,Worst experience ever.,Facebook,UK,2195,1913,negative
44,Worst experience ever.,Instagram,UK,297,1638,negative
45,Pretty decent for the price.,Facebook,UK,2789,1683,positive
46,Pretty decent for the price.,Twitter,Australia,3633,1739,positive
47,"It's okay, nothing special.",Twitter,USA,1762,326,neutral
48,Would not buy again.,Facebook,USA,1919,1062,negative
49,Worst experience ever.,Facebook,USA,2566,1751,negative
50,Would not buy again.,Twitter,Australia,3701,1928,negative
51,Pretty decent for the price.,Facebook,USA,1654,942,positive
52,I love this product!,Twitter,UK,4765,1383,positive
53,Would not buy again.,Twitter,Canada,3160,996,negative
54,"Amazing service, will recommend to everyone!",Instagram,Australia,1345,1096,positive
55,Neutral feelings about this.,Facebook,Australia,4684,891,neutral
56,I love this product!,Instagram,Australia,4105,716,positive
57,Highly recommend!,Twitter,USA,1206,1757,positive
58,Totally disappointed with the quality.,Twitter,Canada,4444,445,negative
59,Worst experience ever.,Twitter,UK,3408,1889,negative
60,"It's okay, nothing special.",Facebook,USA,933,388,neutral
61,"It's okay, nothing special.",Twitter,Australia,287,14,neutral
62,"Amazing service, will recommend to everyone!",Instagram,Australia,3256,1604,positive
63,Totally disappointed with the quality.,Facebook,Australia,1629,50,negative
64,Pretty decent for the price.,Twitter,Canada,1223,1435,positive
65,Worst experience ever.,Instagram,USA,2083,805,negative
66,Totally disappointed with the quality.,Facebook,UK,406,206,negative
67,Highly recommend!,Twitter,UK,4515,450,positive
68,I love this product!,Instagram,USA,2338,964,positive
69,I love this product!,Instagram,India,267,1081,positive
70,Outstanding performance!,Twitter,Canada,3643,494,positive
71,Pretty decent for the price.,Instagram,Canada,2414,831,positive
72,Pretty decent for the price.,Instagram,Australia,4646,1927,positive
73,Fantastic effort by the team!,Facebook,Australia,1276,995,positive
74,Outstanding performance!,Twitter,India,3637,1369,positive
75,"Amazing service, will recommend to everyone!",Instagram,USA,4391,1089,positive
76,Could be better.,Instagram,India,4696,1090,neutral
77,Neutral feelings about this.,Twitter,India,763,937,neutral
78,Pretty decent for the price.,Instagram,UK,4814,705,positive
79,Outstanding performance!,Instagram,Canada,3231,814,positive
80,Fantastic effort by the team!,Instagram,Australia,1749,894,positive
81,Could be better.,Facebook,USA,1816,1615,neutral
82,"It's okay, nothing special.",Instagram,India,2225,595,neutral
83,Outstanding performance!,Twitter,Australia,4335,1365,positive
84,"Amazing service, will recommend to everyone!",Facebook,Australia,4703,1189,positive
85,Fantastic effort by the team!,Twitter,India,3867,616,positive
86,"It's okay, nothing special.",Twitter,Canada,1704,1333,neutral
87,Outstanding performance!,Twitter,UK,2001,259,positive
88,Pretty decent for the price.,Twitter,UK,2199,1515,positive
89,Pretty decent for the price.,Twitter,India,4517,1186,positive
90,I love this product!,Instagram,UK,1529,308,positive
91,Outstanding performance!,Twitter,UK,2572,836,positive
92,Worst experience ever.,Twitter,USA,4591,1185,negative
93,I love this product!,Twitter,India,3587,772,positive
94,Pretty decent for the price.,Facebook,India,289,1033,positive
95,Could be better.,Twitter,India,1709,1717,neutral
96,Highly recommend!,Twitter,USA,3002,1714,positive
97,Would not buy again.,Instagram,USA,3446,1906,negative
98,"Amazing service, will recommend to everyone!",Twitter,USA,2217,974,positive
99,Neutral feelings about this.,Twitter,Australia,929,677,neutral
100,"It's okay, nothing special.",Instagram,India,3180,1162,neutral
101,Highly recommend!,Twitter,Australia,3148,1875,positive
102,Fantastic effort by the team!,Instagram,UK,1473,676,positive
103,Neutral feelings about this.,Facebook,Australia,2833,299,neutral
104,Highly recommend!,Instagram,Australia,4851,305,positive
105,Neutral feelings about this.,Instagram,Australia,517,1747,neutral
106,Worst experience ever.,Facebook,India,3521,1545,negative
107,I love this product!,Facebook,India,1558,832,positive
108,"Amazing service, will recommend to everyone!",Instagram,Canada,1035,1376,positive
109,Would not buy again.,Facebook,UK,956,310,negative
